Season,League,Player,Pos,Team,GP,G,A,P,PIM,+/-
2011,CWHL,Kelly Zamora,F,Toronto Furies,26,2,6,8,30,6
2011,CWHL,Taryn Peacock,F,Team Alberta CWHL,15,2,6,8,22,7
2011,CWHL,Lexie Hoffmeyer,D,Toronto Furies,27,4,3,7,32,6
2011,CWHL,Karlee Overguard,F,Team Alberta CWHL,8,4,3,7,26,6
2011,CWHL,Bianca Zuber,F,Team Alberta CWHL,8,4,3,7,26,6
2011,CWHL,Brittany Simpson,D,Boston Blades,24,3,4,7,18,5
2011,CWHL,Micaela Long,F,Boston Blades,13,3,4,7,2,7
2011,CWHL,Tara Gray,D,Brampton Thunder,27,1,6,7,20,4
2011,CWHL,Carly Dupont-Hill,D,Montreal Stars,22,1,6,7,22,12
2011,CWHL,Dominique Thibault,F,Montreal Stars,7,3,3,6,6,5
2011,CWHL,Bray Ketchum,F,Boston Blades,20,0,6,6,2,6
2011,CWHL,Lindsay Berman,D,Boston Blades,13,3,2,5,10,4
2011,CWHL,Kerri Palmer,D,Brampton Thunder,27,2,3,5,24,4
2011,CWHL,Holly Lorms,F,Boston Blades,24,2,3,5,14,5
2011,CWHL,Shannon Sisk,F,Boston Blades,24,4,0,4,6,4
2011,CWHL,Annina Rajahuhta,F,Burlington Barracudas,8,3,1,4,2,2
2011,CWHL,Olivia Sutter,F,Team Alberta CWHL,13,2,2,4,2,3
2011,CWHL,Katelyn Kurth,D,Boston Blades,26,1,3,4,22,3
2011,CWHL,Lauren Chiswell,F,Team Alberta CWHL,12,3,0,3,2,3
2011,CWHL,Laura Dostaler,F,Team Alberta CWHL,15,2,1,3,2,3
2011,CWHL,Raylen Dziengelewski,D,Boston Blades,23,0,3,3,14,1
2011,CWHL,Courtney Sawchuk,D,Team Alberta CWHL,15,1,1,2,14,2
2011,CWHL,Colleen Olson,F,Team Alberta CWHL,15,0,2,2,8,1
2011,CWHL,Ashley Cockell,D,Team Alberta CWHL,4,0,2,2,4,1
2011,CWHL,Jennifer Kirk,F,Brampton Thunder,9,1,0,1,6,1
2011,CWHL,Meghan Hunter,F,Team Alberta CWHL,4,1,0,1,2,1
2011,CWHL,Karen Thatcher,F,Boston Blades,3,1,0,1,0,1
2011,CWHL,Cherie Hendrickson,D,Boston Blades,21,0,1,1,8,1
2011,CWHL,Jen Sadler,F,Brampton Thunder,19,0,1,1,8,2
2011,CWHL,Kelsey Webster,D,Team Alberta CWHL,15,0,1,1,22,1
2011,CWHL,Brittaney Maschmeyer,D,Team Alberta CWHL,15,0,1,1,6,0
2011,CWHL,Lindsay Robinson,F,Team Alberta CWHL,11,0,1,1,2,1
2011,CWHL,Bobbi Jo Slusar,D,Team Alberta CWHL,5,0,1,1,8,1
2011,CWHL,Larissa Roche,F,Team Alberta CWHL,2,0,1,1,0,0
2011,CWHL,Murphy Shannon,F,Team Alberta CWHL,2,0,1,1,0,0
2011,CWHL,Gabrielle Davidson,F,Montreal Stars,1,0,1,1,0,1
2011,CWHL,Tara Swanson,D,Team Alberta CWHL,15,0,0,0,6,0
2011,CWHL,Jayme Clark,D,Team Alberta CWHL,7,0,0,0,2,0
2011,CWHL,Meghan Duggan,F,Boston Blades,4,0,0,0,0,0
2011,CWHL,Leanne Kisil,F,Team Alberta CWHL,2,0,0,0,2,0
2012,CWHL,Meghan Agosta-Marciano,F,Montreal Stars,23,16,30,46,14,23
2012,CWHL,Ann-Sophie Bettez,F,Montreal Stars,23,17,16,33,2,28
2012,CWHL,Hilary Knight,F,Boston Blades,24,17,15,32,10,22
2012,CWHL,Jayna Hefford,F,Brampton Thunder,21,15,12,27,18,13
2012,CWHL,Caroline Ouellette,F,Montreal Stars,23,13,13,26,14,14
2012,CWHL,Emmanuelle Blais,F,Montreal Stars,23,11,14,25,18,13
2012,CWHL,Rebecca Johnston,F,Toronto Furies,24,8,17,25,4,8
2012,CWHL,Gillian Apps,F,Brampton Thunder,23,14,10,24,52,12
2012,CWHL,Laura McIntosh,F,Brampton Thunder,24,6,18,24,22,11
2012,CWHL,Natalie Spooner,F,Toronto Furies,24,15,8,23,6,12
2012,CWHL,Haley Irwin,F,Montreal Stars,20,10,11,21,36,13
2012,CWHL,Mallory Deluce,F,Toronto Furies,23,6,14,20,10,15
2012,CWHL,Cathy Chartrand,D,Montreal Stars,23,5,15,20,16,13
2012,CWHL,Jennifer Wakefield,F,Toronto Furies,24,13,5,18,34,5
2012,CWHL,Kate Buesser,F,Boston Blades,23,7,11,18,16,11
2012,CWHL,Bailey Bram,F,Brampton Thunder,24,6,12,18,34,3
2012,CWHL,Vicki Bendus,F,Brampton Thunder,20,10,6,16,30,0
2012,CWHL,Carolyne Prevost,F,Toronto Furies,21,5,10,15,4,9
2012,CWHL,Anne Schleper,D,Boston Blades,24,2,13,15,40,10
2012,CWHL,Kelley Steadman,F,Boston Blades,24,8,6,14,32,9
2012,CWHL,Noémie Marin,F,Montreal Stars,14,7,7,14,6,6
2012,CWHL,Caitlin Cahow,D,Boston Blades,24,2,12,14,24,4
2012,CWHL,Cherie Piper,F,Brampton Thunder,22,9,4,13,14,6
2012,CWHL,Meghan Duggan,F,Boston Blades,14,5,8,13,24,9
2012,CWHL,Catherine Ward,D,Montreal Stars,21,1,12,13,18,17
2012,CWHL,Carly Dupont-Hill,D,Montreal Stars,23,0,12,12,18,13
